Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C13, C16, C17, C18, C19, C20, C21, C23, C24, C25, C26, C27, C29, C3, C30, C31, C40, C41, C42, C6, C7",0402,23,0.1uF/10V(10%),
"C11, C14",0402,2,0.1uF/10V,
C12,0402,1,1uF/10V,
"C15, C9",0402,2,18pF/25V(10%),
"C2, C33, C34, C35, C36, C4, C43, C44, C45, C47",0402,10,1uF/10V(10%),
"C22, C28, C32, C37, C38, C39",0402,6,10uF/10V(20%),
"C46, C51",0402,2,100nF/16V,
"C48, C52",0402,2,10nF/16V,
C49,0402,1,4.7uF/10V,
C5,0402,1,22pF/50V(5%),
C8,0402,1,100n,
D1,0603,1,LED,
"D10, D11, D12, D13, D2, D3, D4, D5, D6, D7, D8, D9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,12,WS2812B,
D15,D_SOD-323F,1,1N4148WS,
"D16, D17",D_SMA,2,SS24,
J3,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_16P,
J5,PinSocket_2x20_P2.54mm_Vertical_Through_SMD,1,Raspberry_Pi_2_3,
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,ID_WP,
"JP10, JP11, JP4, JP9",SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm,4,SolderJumper_3_Bridged12,
"JP2, JP3",SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,2,SolderJumper_3_Open,
"JP5, JP6, JP7, JP8",SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,4,SolderJumper_2_Bridged,
L1,0603,1,40 Ohm,
"MK1, MK2, MK3",XDCR_CMM-4030DT-26154-TR,3,GMA4030H11-F26,
Q1,SOT-23,1,AO3400A,
"R1, R10, R13, R2, R8",0402,5,100K(1%),
"R11, R12, R39, R42, R45, R53, R56, R58",0402,8,10K(5%),
"R14, R15, R18, R19, R3, R36, R37, R38, R50, R51, R52, R9",0402,12,10K(1%),
"R16, R17",0402,2,3.9k,
"R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R40, R41, R43, R44, R46, R47",0402,22,33R(5%),
R4,0402,1,1K(1%),
"R48, R49",0402,2,5.1K(1%),
R5,0402,1,100(1%),
R54,0402,1,15K(5%),
R55,0402,1,3.9K(5%),
R6,0402,1,20K(1%),
R7,0402,1,330(1%),
"SW1, SW2, SW3, SW4",SW_SPST_PTS645,4,SW_Push,
"TP1, TP10, TP11, TP12, TP2, TP3, TP4, TP5, TP6, TP7, TP8",TestPoint_Pad_D1.0mm,11,TestPoint,
"U1, U7",SOT-23-5,2,SN74LVC1G126DBV,
U10,SOT-23-6,1,SRV05-4,
U11,SOT-223-3_TabPin2,1,AMS1117-1.2,
U2,SOT-23-5,1,74LVC1G17,
U3,VSSOP-8_2.4x2.1mm_P0.5mm,1,SN74LVC2G74,
U4,SOT-23-5,1,74AHCT1G125,
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,W25Q16JVSS,
U8,QFN-64-1EP_9x9mm_P0.5mm_EP7.3x7.3mm_ThermalVias,1,ZL38063,
U9,SOT-223-3_TabPin2,1,AMS1117-3.3,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,
